,Unnamed: 0,SPLIT,QED,logP,TPSA,HBD,HBA,valence,maxCharge,minCharge,jIndex,molWt,can,score,time
0,362228,train,0.9209095490000001,1.9289,67.87,1,4,124,0.230802145,-0.453593029,1.688809512,318.373,CC(C)C(C)NC(=O)C1CC(=O)N(c2ccc3c(c2)OCO3)C1,-8.7,24.890004634857178
1,255242,train,0.792167182,0.1817,81.91,1,7,104,0.329317843,-0.38283479600000003,2.7362383919999997,284.341,CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCOC,-6.7,23.06763505935669
2,1031627,train,0.7608444329999999,1.3368,88.91,2,5,116,0.271415208,-0.35048554299999995,1.640100974,309.329,Cn1ccc2c(NC(=O)CNC(=O)c3cnccn3)cccc21,-8.8,27.12584924697876
3,599963,train,0.7946510840000001,2.394,76.57,0,5,126,0.337386584,-0.465417023,1.966692813,346.408,COC(=O)c1cccc(S(=O)(=O)N2CCCC2c2ccncc2)c1,-8.0,30.341456651687622
4,433368,train,0.9451184979999999,2.45458,63.99,1,4,108,0.262042371,-0.276420631,2.547909689,293.392,Cc1cc(C)c(C)c(S(=O)(=O)Nc2cnn(C)c2)c1C,-7.8,21.66602635383606
5,129089,train,0.794908808,2.0431,76.02,2,5,120,0.25310730600000003,-0.349239732,1.6104334830000002,330.413,Cn1ccnc1SCC(=O)Nc1ccccc1C(=O)NC1CC1,-7.6,32.52655506134033
6,845634,train,0.7509731390000001,1.76758,48.29,1,4,104,0.09647474,-0.375552615,2.363302108,253.39,CCCNC(C#N)CCN1CC(C)OCC1CC,-6.0,35.85738658905029
7,38903,train,0.572385035,3.4951,71.53,1,5,110,0.183994397,-0.293236381,1.635302703,330.8,O=C(CSc1nc(-c2ccncc2)n[nH]1)c1ccc(Cl)cc1,-8.8,36.08560919761658
8,773022,train,0.83011925,2.39722,70.67,2,3,134,0.40527752200000006,-0.382850043,2.786261853,347.337,COCCN(C)C(=O)Nc1cc(C(=O)NCC(F)(F)F)ccc1C,-7.6,36.98661470413208
9,999957,train,0.889006292,2.77572,71.19,2,3,122,0.38703214,-0.434832624,2.132185363,322.311,Cc1ccc(C(=O)NC(C)c2cccc(OC(F)F)c2)c(=O)[nH]1,-8.7,29.1465265750885
10,596217,train,0.836929432,2.3886,38.77,0,3,104,0.22236570100000003,-0.492859216,2.223555403,263.337,CCCC(=O)N1CCc2cc(OC)c(OC)cc2C1,-7.6,18.08489990234375
11,724671,train,0.751826715,0.4124,89.26,2,3,100,0.235440702,-0.36827824200000003,2.758933985,270.35400000000004,CCCS(=O)(=O)NC(Cc1ccccc1)C(N)=O,-7.3,28.066498517990112
12,376520,train,0.7962778509999999,2.7973,58.1,1,4,124,0.326215404,-0.34223099799999995,1.46590672,341.436,O=C(Cc1cccs1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,-8.5,28.089898824691772
13,739159,train,0.913941303,1.7229,67.23,1,4,120,0.253167957,-0.347775741,1.7309822830000001,312.373,CN(C(=O)C1CC1)c1ccccc1C(=O)NCc1cnn(C)c1,-7.2,30.227824687957764
14,200568,train,0.8492733379999999,1.8516,76.66,2,4,124,0.250791647,-0.453595475,1.3912655630000001,326.35200000000003,O=C(CCNC(=O)c1ccccc1)NCc1ccc2c(c1)OCO2,-9.2,23.845904111862183
15,1203358,train,0.899900872,3.4754,49.33,2,3,122,0.252018065,-0.386567052,1.6253510569999998,333.42800000000005,CC1CCc2c(C(=O)NCC(O)c3ccc(F)cc3)csc2C1,-9.3,16.814607620239258
